SKU,ProductName,Category,Subcategory,PackSize, Price 
116,1/6 Thank You Bag,Paper,Bags,1000/CS,36.64
18404,4# Brown Bag - 5X3.13X9.75,Paper,Bags,500/BL,14.89
18406,6# Brown Bag - 6X3.63X11.06,Paper,Bags,500/BL,20.03
18408,8# Brown Bag - 6.13X4.13X12.44,Paper,Bags,500/BL,22.97
18410,10# Brown Bag - 6.31X4.19X13.38,Paper,Bags,500/BL,26.3
18412,12# Brown Bag - 7.06X4.5X13.75,Paper,Bags,500/BL,29.37
70212,12# Heavy Duty Brown Bag 7.06X4.5X13.75,Paper,Bags,400/BL,30.7
70221,20# Heavy Duty Brown Bag 8.25X5.31X13.38,Paper,Bags,500/BL,37.87
MT403XW,White Can Liner 33X39 .95Mil,Janitorial,Can Liners,10-15/CS,32.73
SM333915,33 Gallon Black Canliner - 33X39 1.5Ml,Janitorial,Can Liners,10-10 / CS,21.56
SM385815,60 Gallon Black Canliner - 38X58 1.5 Ml,Janitorial,Can Liners,10-10 / CS,36.94
SM385820,60 Gallon Black Canliner - 38X58 2.0 Ml,Janitorial,Can Liners,10-10 / CS,42.04
SM385828,60 Gallon Black Canliner - 38X58 2.8 Ml,Janitorial,Can Liners,5-10 /CS,32.47
SM404615,45 Gallon Black Canliner - 40X46 1.5Ml,Janitorial,Can Liners,10-10 / CS,30.76
SM434715,56 Gallon Black Canliner - 43X47 1.5 Ml,Janitorial,Can Liners,10-10 / CS,33.89
PH242408N,7-10 Gallon Clear Canliner - 24X24 8 Mic,Janitorial,Can Liners,20-50 / CS,25.51
PH243308N,12-16 Gallon Clear Canliner - 24X32 8 Mic,Janitorial,Can Liners,20-50 / CS,33.71
PH334016N,33 Gallon Clear Canliner - 33X38 16 Mic,Janitorial,Can Liners,10-25 / CS,30.53
PH386017N,60 Gallon Clear Canliner - 38X58 16 Mic,Janitorial,Can Liners,8-25 / CS,39.9
PH404816N,40-45 Gallon Clear Canliner - 40X46 16 Mic,Janitorial,Can Liners,10-25 / CS,40.83
,Mars Variety Pack,Snacks & Candy,Candy,Box,
,Hershey Variety Pack,Snacks & Candy,Candy,Box,
,Reese's Cups,Snacks & Candy,Candy,Box,
,Butterfingers,Snacks & Candy,Candy,Box,
,Milky Way,Snacks & Candy,Candy,Box,
,Twix,Snacks & Candy,Candy,Box,
,M&M,Snacks & Candy,Candy,Box,
,Peanut M&M,Snacks & Candy,Candy,Box,
,Kit Kat,Snacks & Candy,Candy,Box,
,Snickers,Snacks & Candy,Candy,Box,
,Skittles,Snacks & Candy,Candy,Box,
,Wrapped Lollipops,Snacks & Candy,Candy,Tub,
,Old Dutch Dill Pickle,Snacks & Candy,Chips,1 Bag,1
,Bulk Ripple Chips,Snacks & Candy,Chips,6 pound,
,Cheetos,Snacks & Candy,Chips,1 Bag,1
,Funyuns,Snacks & Candy,Chips,1 Bag,1
,Frito Original,Snacks & Candy,Chips,1 Bag,1
,Cheez-It Original,Snacks & Candy,Chips,1 Bag,1
,Doritos Cool Ranch,Snacks & Candy,Chips,1 Bag,1
,Frito Chili Cheese,Snacks & Candy,Chips,1 Bag,1
,Old Dutch Barbecue,Snacks & Candy,Chips,1 Bag,1
,Old Dutch Original,Snacks & Candy,Chips,1 Bag,1
,Gardettos Snack Mix,Snacks & Candy,Chips,1 Bag,1
,Cheez-It White Cheddar,Snacks & Candy,Chips,1 Bag,1
,Doritos Nacho Cheese,Snacks & Candy,Chips,1 Bag,1
,Old Dutch Onion & Garlic,Snacks & Candy,Chips,1 Bag,1
,Old Dutch Sour Cream,Snacks & Candy,Chips,1 Bag,1
,Rolled Gold Pretzels,Snacks & Candy,Chips,1 Bag,1
,Ruffles Cheddar & Sour Cream,Snacks & Candy,Chips,1 Bag,1
,Salista spicy salsa tortilla rounds,Snacks & Candy,Chips,1 Bag,1
,TGIF Cheddar Bacon Skins,Snacks & Candy,Chips,1 Bag,1
69041,Foam Soap,Janitorial,Cleaners,6 Bags / CS,   -     
NL158-G4,Balance Ec - Floor Cleaner,Janitorial,Cleaners,4 GL / CS,48.79
NL206-G4,At Eze - Oven Cleaner,Janitorial,Cleaners,4 GL / CS,65.31
NL220-G4,Blaze 8 Degreaser,Janitorial,Cleaners,4 GL / CS,60.51
NL269-G4,Marvalosa - Multipurpose Cleaner,Janitorial,Cleaners,4 GL / CS,53.06
NL303-G4,Contempo - Auto Dish Wash,Janitorial,Cleaners,4 GL / CS,57.26
NL339-G4,Rinse Aid - Auto Rinse,Janitorial,Cleaners,4 GL / CS,86.67
NL352-G4,Low Foam Delimer,Janitorial,Cleaners,4 GL / CS,90.89
NL356-G4,Lo Suds - Glass Wash,Janitorial,Cleaners,4 GL / CS,56.66
NL535-G4,Citra Blaze Degreaser,Janitorial,Cleaners,4 GL / CS,77.96
NL611-G4,N601 Sanitizer - Gallons,Janitorial,Cleaners,4 GL / CS,89.93
NL611-P5,N601 Sanitizer - 5 Gallon Pl,Janitorial,Cleaners,EA,111.73
NL627-G4,Everpine - Pine Cleaner,Janitorial,Cleaners,4 GL / CS,62.31
NL776-G4,Q64 Disinfectant Cleaner,Janitorial,Cleaners,4 GL / CS,79.7
NL849-G4,Clean Freeze - Freezer Cleaner,Janitorial,Cleaners,4 GL / CS,148.27
NL913-G4,Clearly The Best - Glass Cleaner - Gallons,Janitorial,Cleaners,4 GL / CS,35.84
NL950-G4,Green Kleen Multi Purpose Cleaner,Janitorial,Cleaners,4 GL / CS,55.51
NL025-Q12,Super Toilet - 24% Hcl Bowl Cleaner,Janitorial,Cleaners,12 QT / CS,53.23
NL044-Q12,Bactizyme - Drain Cleaner,Janitorial,Cleaners,12 QT / CS,77.41
NL262-Q12,Hi Cling - 9% Hcl Bowl Cleaner,Janitorial,Cleaners,12 QT / CS,55.21
NL438-818,Deep Fat - Fryer Cleaner,Janitorial,Cleaners,18 - 8OZ / CS,55.93
NL763-Q12,Sani Spritz - Disinfectant Cleaner,Janitorial,Cleaners,12 QT / CS,51.97
NL913-Q12,Clearly The Best - Glass Cleaner - Quarts,Janitorial,Cleaners,12 / CS,52.51
NL933-P50,Laundry Detergent - Powdered - 50#,Janitorial,Cleaners,EA,57.26
NL939-P50,Powdered Pleach - 50#,Janitorial,Cleaners,EA,66.03
NL241-Q6W2,Arrest - Enzyme Eliminator,Janitorial,Cleaners,6 QT / CS,46.37
NL770-Q6W2,Table Time - Foodsevice Sanitizer,Janitorial,Cleaners,6 QT / CS,27.43
,Red Loop Mop Head,Janitorial,Cleaning Equipment,EA,   -     
,Green Loop Mop Head,Janitorial,Cleaning Equipment,EA,   -     
,Coffee Mate Liquid Creamer (180 Count),Beverages,Coffee,180 count,
,Coffee Mate Liquid Creamer (360 Count),Beverages,Coffee,360 count,
,Whipper Mix (2 Lb),Beverages,Coffee,2 lb bag,
,Cappuccino English Toffee,Beverages,Coffee,1 unit,
,Cappuccino French Vanilla,Beverages,Coffee,1 unit,
,White Bear Coffee,Beverages,Coffee,1 unit,
,Folgers Coffee,Beverages,Coffee,1 unit,
,Sugar Packets (2000 Count),Beverages,Coffee,2000 packets,
8B20,8 Oz Foam Bowl,Kitchen Essentials,Containers,50-20 / CS,87.2
10B20,10 Oz Foam Bowl,Kitchen Essentials,Containers,50-20 / CS,92.19
12B32,12 Oz Foam Bowl,Kitchen Essentials,Containers,50-20 / CS,105.99
12BWWCR,12 Oz Foam Rimmed Bowl,Kitchen Essentials,Containers,8-125 / CS,44.77
16EL,Hot Drink Sip Lids,Kitchen Essentials,Containers,10-100 / CS,72.41
20JL,Translucen Lid,Kitchen Essentials,Containers,10-100 / CS,55.43
20RL,Foam Lid,Kitchen Essentials,Containers,10-100 / CS,48.63
